segment_id,date_local,uptime,pedestrian_lft,pedestrian_rgt,pedestrian_total,bike_lft,bike_rgt,bike_total,car_lft,car_rgt,car_total,heavy_lft,heavy_rgt,heavy_total,v85,car_speed0,car_speed10,car_speed20,car_speed30,car_speed40,car_speed50,car_speed60,car_speed70
9000006244,2024-01-09 16:00,0.499722,0,6,6,0,4,4,296,224,520,0,0,0,31.5,1.92,9.23,58.85,25.38,4.62,0.0,0.0,0.0
9000006244,2024-01-10 07:00,0.249722,0,0,0,0,4,4,232,224,456,4,0,4,31.0,16.67,20.18,37.72,21.93,3.51,0.0,0.0,0.0
9000006244,2024-01-10 08:00,0.420278,4,5,9,4,1,5,210,214,424,4,10,14,32.5,3.37,3.93,53.93,33.15,5.62,0.56,0.0,0.0
9000006244,2024-01-10 09:00,0.831667,10,0,10,0,1,1,185,184,368,0,3,3,35.0,0.0,4.9,39.22,50.0,5.23,0.65,0.0,0.0
9000006244,2024-01-10 10:00,0.840833,0,1,1,0,4,4,163,130,293,0,6,6,34.0,1.62,10.12,40.89,41.7,4.86,0.81,0.0,0.0
9000006244,2024-01-10 11:00,0.999722,4,4,8,0,2,2,133,163,296,0,7,7,40.0,0.68,2.7,20.95,54.05,19.26,2.03,0.34,0.0
9000006244,2024-01-10 12:00,0.999167,3,9,12,0,4,4,135,198,333,3,13,16,40.5,0.9,1.8,27.63,46.85,20.72,2.1,0.0,0.0
9000006244,2024-01-10 13:00,0.999722,2,0,2,1,5,6,74,195,269,0,3,3,37.5,1.12,4.09,30.11,49.44,13.01,2.23,0.0,0.0
9000006244,2024-01-10 14:00,0.999167,1,3,4,1,6,7,64,205,269,1,4,5,35.5,3.35,10.04,36.06,40.15,10.04,0.37,0.0,0.0
9000006244,2024-01-10 15:00,0.815,7,0,7,1,15,16,263,238,502,0,2,2,34.5,0.98,7.09,51.59,33.5,6.36,0.73,0.0,0.0
9000006244,2024-01-10 16:00,0.499444,4,4,8,4,12,16,286,272,558,0,0,0,33.0,0.72,5.73,59.14,31.18,2.51,0.36,0.36,0.0
9000006244,2024-01-11 07:00,0.249444,0,0,0,0,12,12,208,257,465,0,0,0,26.5,15.52,16.38,58.62,8.62,0.86,0.0,0.0,0.0
9000006244,2024-01-11 08:00,0.816111,0,2,2,1,1,2,178,208,386,0,4,4,31.5,2.54,4.76,59.05,32.7,0.95,0.0,0.0,0.0
9000006244,2024-01-11 09:00,0.999722,4,1,5,1,1,2,154,171,325,0,1,1,35.5,0.0,1.85,46.15,42.46,8.92,0.62,0.0,0.0
9000006244,2024-01-11 10:00,0.999444,3,4,7,1,3,4,167,147,314,2,7,9,35.0,0.32,3.18,39.81,50.64,5.73,0.32,0.0,0.0
9000006244,2024-01-11 11:00,0.999444,0,2,2,1,1,2,164,156,320,1,10,11,35.5,1.56,3.44,43.12,43.75,7.81,0.31,0.0,0.0
9000006244,2024-01-11 12:00,0.999444,1,1,2,1,1,2,203,163,366,0,4,4,35.5,1.09,4.64,40.98,46.45,6.28,0.55,0.0,0.0
